id,first_name,last_name,email,gender,ip_address,Lead_ID,Lead_Source,Lead_Creation_Date,Lead_Score,MQL_Flag,MQL_Date,SQL_Flag,SQL_Date,Customer_Flag,Conversion_Date,Customer_ID,Industry,Company_Size,Region,Decision_Maker_Role,ACV_USD,Sales_Cycle_Days,CAC_USD,LTV_USD,Churn_Flag,Churn_Date,Customer_Tenure_Months,Renewals_Count,Expansion_Flag,Logins_Per_Month,Active_Features_Used,Product_Usage_Hours,Tickets_Raised,Avg_Response_Time_Support,NPS_Score,Stage_Probability,Expected_Close_Date,Forecasted_Revenue
1,Lorilee,Camacke,lcamacke0@usda.gov,Female,249.42.55.77,1,LinkedIn,1/7/2023,93,FALSE,1/20/2023,FALSE,12/11/2023,FALSE,12/8/2024,CUST003,Manufacturing,6048,DACH,CTO,26432,11,4726,41355,FALSE,10/13/2025,0,4,TRUE,20,1,34,25,2.3,26,91.5,11/4/2026,10451.3
2,Alexis,Suche,asuche1@ow.ly,Male,11.49.148.238,2,Event,7/30/2023,60,TRUE,12/15/2023,FALSE,5/21/2023,TRUE,9/4/2024,CUST003,Manufacturing,5971,DACH,Head of Ops,42636,7,1062,38965,TRUE,1/8/2024,13,6,FALSE,10,7,411,2,8,9,91,9/24/2025,15059.9
3,Burton,Slessar,bslessar2@squarespace.com,Non-binary,136.239.234.203,3,Website,10/30/2024,16,FALSE,6/5/2025,TRUE,10/10/2024,TRUE,10/11/2025,CUST008,Retail,8765,DACH,Consultant,46700,80,900,48719,TRUE,9/20/2024,37,0,TRUE,26,9,324,46,31.7,74,59.4,1/5/2026,4933.7
4,Lowrance,Veracruysse,lveracruysse3@abc.net.au,Male,145.187.177.155,4,LinkedIn,7/15/2023,42,TRUE,12/7/2023,FALSE,1/23/2025,TRUE,7/14/2024,CUST005,Manufacturing,1835,DACH,Consultant,12071,3,4775,45558,TRUE,10/27/2024,15,6,TRUE,7,2,44,20,12.5,35,13.8,1/18/2026,27193.6
5,Lian,Scorton,lscorton4@themeforest.net,Female,177.137.14.92,5,Website,11/8/2024,31,FALSE,2/1/2023,TRUE,4/16/2025,TRUE,1/13/2024,CUST008,Manufacturing,1924,Thailand,Head of Ops,28993,87,7995,1017,FALSE,11/25/2024,14,4,TRUE,5,9,310,13,4.6,59,98.5,4/20/2025,31037.1
6,Elliot,Maghull,emaghull5@liveinternet.ru,Male,94.150.70.186,6,Event,11/26/2024,46,TRUE,5/9/2023,FALSE,6/1/2023,TRUE,5/15/2024,CUST009,Retail,6542,APAC,CTO,28783,83,9375,7312,TRUE,4/22/2025,13,10,TRUE,22,7,183,21,17.3,32,39.9,2/25/2026,15369.3
7,Lida,Gartell,lgartell6@w3.org,Female,248.61.40.22,7,Website,12/13/2024,96,TRUE,6/4/2023,FALSE,4/21/2024,TRUE,10/29/2024,CUST009,Tech,5036,Thailand,CTO,46067,15,8239,15618,FALSE,5/24/2025,35,4,TRUE,10,9,373,16,42.4,35,31.9,7/1/2025,17352.4
8,Ralina,Grimmolby,rgrimmolby7@paypal.com,Female,157.202.105.64,8,Website,5/28/2024,83,TRUE,8/25/2023,FALSE,12/10/2024,FALSE,3/11/2024,CUST010,Retail,2978,DACH,Consultant,9029,18,6680,18560,FALSE,3/26/2025,36,6,FALSE,44,0,500,21,6.5,26,35.4,3/5/2025,26546.9
9,Farr,Willder,fwillder8@craigslist.org,Male,5.181.184.51,9,Website,1/31/2023,40,FALSE,10/24/2025,TRUE,1/28/2023,TRUE,9/19/2024,CUST010,Retail,6556,US,Head of Ops,38115,15,1914,23536,TRUE,6/13/2025,22,5,FALSE,16,1,87,37,42.6,15,33.5,10/3/2025,48075
10,Hamil,Lettson,hlettson9@wunderground.com,Male,146.21.222.5,10,Website,8/18/2023,67,TRUE,10/10/2024,FALSE,9/16/2024,TRUE,2/14/2024,CUST007,Manufacturing,5552,US,Head of Ops,7744,79,529,36451,FALSE,12/8/2024,4,8,TRUE,24,5,428,6,39.1,48,9,2/25/2026,4567.4
11,Mata,Tindall,mtindalla@guardian.co.uk,Genderqueer,145.254.78.148,11,Google Ads,2/8/2024,28,FALSE,11/10/2025,TRUE,9/14/2025,TRUE,7/28/2025,CUST002,Manufacturing,247,APAC,CEO,2807,89,278,26277,TRUE,5/11/2024,9,9,TRUE,22,7,420,13,10.2,69,57.6,7/6/2025,24540.8
12,Dasie,Penquet,dpenquetb@house.gov,Female,185.110.29.244,12,Website,4/26/2023,12,TRUE,11/20/2025,TRUE,2/21/2023,FALSE,6/17/2024,CUST006,Manufacturing,5124,DACH,Consultant,4410,40,9213,10491,TRUE,1/8/2024,0,3,TRUE,17,10,119,18,9.3,75,50.8,5/8/2026,9925.4
13,Noam,Springle,nspringlec@soup.io,Male,175.21.221.41,13,Website,7/15/2023,65,TRUE,6/16/2023,TRUE,7/24/2024,FALSE,11/28/2025,CUST003,Tech,6869,APAC,CTO,7053,90,4553,39374,TRUE,5/27/2025,39,8,FALSE,6,2,445,27,26.9,19,43.8,4/27/2025,24177.9
14,Shell,Vennart,svennartd@hp.com,Agender,134.49.21.210,14,LinkedIn,5/1/2024,66,TRUE,8/1/2024,TRUE,1/24/2023,FALSE,5/3/2024,CUST007,Manufacturing,2272,DACH,Consultant,13176,66,4035,13736,TRUE,2/3/2024,40,6,TRUE,7,4,432,1,33.6,9,10.4,9/3/2026,4706.1
15,Dominic,MacGeffen,dmacgeffene@yale.edu,Male,118.188.95.68,15,Google Ads,11/27/2024,42,TRUE,3/18/2024,TRUE,3/6/2025,TRUE,9/20/2024,CUST009,Retail,2685,APAC,Consultant,12498,4,8902,26403,TRUE,10/30/2024,39,1,FALSE,14,2,259,49,25.9,28,16.9,2/26/2025,11505.1
16,Dennie,Drinan,ddrinanf@npr.org,Female,36.100.47.114,16,Event,2/18/2024,78,FALSE,4/21/2024,FALSE,10/12/2024,TRUE,8/7/2024,CUST005,Manufacturing,2425,Vietnam,CEO,31720,87,8597,13501,TRUE,9/23/2025,17,10,FALSE,42,2,190,30,22.5,51,66.2,10/16/2026,17451.2
17,Barnard,Warner,bwarnerg@ft.com,Male,164.90.213.41,17,LinkedIn,4/20/2024,85,TRUE,3/7/2024,FALSE,4/5/2024,TRUE,12/2/2024,CUST004,Manufacturing,3733,Thailand,Head of Ops,17994,5,3929,11930,FALSE,9/17/2024,11,8,TRUE,38,10,302,44,27.4,64,22.6,2/22/2025,15976.8
18,Ellen,Penny,epennyh@sphinn.com,Female,243.118.37.76,18,LinkedIn,5/19/2024,34,FALSE,6/27/2025,FALSE,1/29/2023,FALSE,2/29/2024,CUST009,Finance,1619,APAC,Consultant,8357,80,4769,33618,TRUE,11/15/2025,11,6,TRUE,15,9,425,50,33.7,73,40.1,7/14/2026,33019.4
19,My,Sandels,msandelsi@techcrunch.com,Male,144.42.240.189,19,Event,8/9/2024,9,TRUE,11/18/2025,TRUE,4/6/2023,TRUE,12/16/2024,CUST007,Manufacturing,4120,Vietnam,CTO,40544,89,7948,14850,FALSE,1/14/2025,37,2,TRUE,26,3,103,45,13,16,92.6,12/9/2026,28562.9
